Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_EIA-7343-31_Kemet-D_Pad2.25x2.55mm_HandSolder,1,100uF,
"C10, C2, C20, C3, C31, C32, C33, C4, C5, C6",0603,10,100nF,C14663
"C30, C7",0805,2,4.7uF,C1779
"D1, D2, D31, D32",0603,4,LED,C2286
D30,SOT-143,1,SP0503BAHT,C3040626
J1,PinHeader_1x04_P2.54mm_Vertical,1,Schaltregler,
J10,GCT-MEM2055-00-190-01-A,1,MicroSD_SPI_CD,C2889258
J11,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06,
J2,PinHeader_1x02_P2.54mm_Vertical,1,ESP Prog,
J20,iso7816_conn,1,Smartcard Connector,
J21,PogoPin,1,PogoPin,
J22,MS2_Edge,1,Card Edge,
J23,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04,
J30,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,C132563
J31,PinHeader_1x03_P2.54mm_Vertical,1,Power Select,
J32,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
"Q1, Q2",SOT-23,2,MMBT3904,C20526
"R1, R31, R32, R7",0603,4,330,C23018
"R11, R12, R13, R2, R20, R21, R22, R23, R5, R6",0603,10,4k7,C17673
"R3, R4",0603,2,0,C21189
R30,0603,1,1k,C21190
"R8, R9",0603,2,10k,C25804
SW1,PCB_PUSH,1,RESET,
U1,ESP-12E,1,ESP-12F,C82891
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,FM24C64B,C9829
"U20, U3, U4",SOT-363_SC-70-6,3,BL1551B,C2944066
U30,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-Axx-xQFN24,C969151
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
