Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C2, C20, C3, C31, C32, C4, C5, C6",0603,9,100nF,C14663
C30,0805,1,1uF,C28323
C7,0805,1,4.7uF,C1779
C8,0603,1,470nF,C1623
"D1, D31, D32",0603,3,LED,C2286
D30,SOT-143,1,SP0503BAHT,C3040626
J10,GCT-MEM2055-00-190-01-A,1,MicroSD_SPI_CD,C2889258
J30,USB_Micro-B_Amphenol_10118194_Horizontal,1,USB_B_Micro,C132563
"Q1, Q2",SOT-23,2,MMBT3904,C20526
Q3,SOT-23,1,MMBT5401,C8326
"R1, R31, R32",0603,3,330,C23138
R10,0603,1,75k,C23242
"R11, R12, R13, R14, R15, R2, R20, R21, R30",0603,9,4k7,C23162
"R22, R23, R5, R6",0603,4,47k,C25819
"R3, R8, R9",0603,3,10k,C25804
R4,0603,1,100,C22775
R7,0603,1,180k,C22827
U1,ESP-12E,1,ESP-12F,C82891
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,FM24C64B,C9829
"U20, U3, U4",SOT-363_SC-70-6,3,BL1551B,C2944066
U30,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2102N-A02-GQFN24R ,C969151
U6,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
