Designator,Mid X,Mid Y,Rotation,Layer
C10,80.39,44.93,180.0,top
C2,67.05,14.475,90.0,top
C20,64.325,14.7,90.0,top
C3,72.65,12.075,0.0,top
C30,88.575,14.3,90.0,top
C31,86.8,14.17,90.0,top
C32,91.05,12.225,0.0,top
C4,74.025,15.675,90.0,top
C5,62.53,38.925,180.0,top
C6,72.34,43.43,0.0,top
C7,72.57,41.68,0.0,top
C8,73.52,38.49,90.0,top
D1,79.65,50.25,180.0,top
D30,90.925,9.875,180.0,top
D31,82.025,2.215,180.0,top
D32,85.28,2.19,180.0,top
J10,88.63000000000001,45.0,90.0,top
J21,16.5375,47.63,0.0,top
J30,95.225,10.225,90.0,top
Q1,80.17,7.86,180.0,top
Q2,80.19,11.42,180.0,top
Q3,70.76,38.1,180.0,top
R1,75.03,50.24,0.0,top
R10,80.42,36.76,0.0,top
R11,80.38,43.43,0.0,top
R12,80.4,46.42,0.0,top
R13,80.37,41.94,0.0,top
R14,80.37,40.44,0.0,top
R15,80.37,38.95,0.0,top
R2,80.405,47.92,180.0,top
R20,81.0,15.475,90.0,top
R21,79.25,15.5,90.0,top
R22,72.64,10.47,180.0,top
R23,67.4,16.925,0.0,top
R3,67.305,39.05,180.0,top
R30,84.475,13.3,0.0,top
R31,82.025,3.875,180.0,top
R32,85.28,3.865,180.0,top
R4,67.3,37.16,180.0,top
R5,69.3,9.52,180.0,top
R6,69.29,8.02,180.0,top
R7,77.09,36.82,180.0,top
R8,77.045,8.06,270.0,top
R9,77.045,11.235,90.0,top
U1,81.47,26.7,180.0,top
U2,63.65,10.275,270.0,top
U20,61.7,14.75,180.0,top
U3,69.4,12.075,180.0,top
U30,86.0,9.86,180.0,top
U4,71.425,15.65,180.0,top
U6,66.415,43.45,180.0,top
